podcast_id,description
1480311435,"<p>The Office co-stars and best friends, Jenna Fischer and Angela Kinsey, are doing the ultimate The Office re-watch podcast for you. Each week Jenna and Angela will break down an episode of The Office and give exclusive behind the scene stories that only two people who were there, can tell you.</p>"
1550331348,"With the success of his hit podcast, An Oral History of The Office, podcast host extraordinaire Brian Baumgartner (AKA Kevin Malone) is taking you even deeper inside the show, releasing his full-length, in-depth conversations with the cast and crew of The Office. Every week, Brian will sit down with one of his old pals and coworkers to talk about their best job ever: The Office. They’ll laugh, cry, and crack plenty of inappropriate jokes as they discuss the inner workings of the show, their favorite moments on set, never-before-told stories and secrets, and what makes the show even more popular today. Fans will get to be the third wheel with their favorite stars as they learn everything they never wanted to know, and then some. If you loved An Oral History of The Office, you’ll double love The Office Deep Dive, featuring full-strength interviews with Steve Carell, John Krasinski, Rainn Wilson, Jenna Fischer, Greg Daniels, and more!"
1554132477,"""In Plain Sight: Lady Bird Johnson"" presents a surprising and original portrait of Lady Bird Johnson, told in the former first lady's own words -- from over 123 hours of her White House audio diaries, heard here largely for the first time ever. It recasts Lady Bird's role in the Johnson White House as her husband's closest advisor and most trusted political partner and provides history-making revelations about LBJ's time in office. It's the story of how one vastly underestimated woman navigated the power, politics and polarization of her era to become one of the most influential members of the Johnson administration... even if we never knew it. An eight-part series from ABC Audio & Best Case Studios. Hosted by Julia Sweig."
1548604447,"Each Tuesday and Friday, Ezra Klein invites you into a conversation on something that matters. How do we address climate change if the political system fails to act? Has the logic of markets infiltrated too many aspects of our lives? What is the future of the Republican Party? What do psychedelics teach us about consciousness? What does sci-fi understand about our present that we miss? Can our food system be just to humans and animals alike?"
1532894981,"A murder case has many layers: the victim, the crime, and the investigation. To truly understand it, you need to dissect each piece of a tragic puzzle. Join Anna-Sigga Nicolazzi and Scott Weinberger every Wednesday for an insider’s perspective, as they reveal to you the Anatomy of Murder."
934820588,"From their Oceanside studios at the Clevelander Hotel in Miami Beach, Dan Le Batard, Stugotz and company share their unique perspectives on all-things sports, pop-culture and more. This is the place for original content from Lebatard and Stu Gotz, including the daily “Local Hour” generally focusing on the South Florida scene, the Big Suey, and a few more surprises along the way."
965293227,"He’s a former Secret Service Agent, former NYPD officer, and New York Times best-selling author. Join Dan Bongino each weekday as he tackles the hottest political issues, debunking both liberal and Republican establishment rhetoric."
917918570,"Serial is a podcast from the creators of This American Life, hosted by Sarah Koenig. Serial unfolds one story - a true story - over the course of a whole season. The show follows the plot and characters wherever they lead, through many surprising twists and turns. Sarah won't know what happens at the end of the story until she gets there, not long before you get there with her. Each week she'll bring you the latest chapter, so it's important to listen in, starting with Episode 1. New episodes are released on Thursday mornings. "
201671138,"This American Life is a weekly public radio show, heard by 2.2 million people on more than 500 stations. Another 2.5 million people download the weekly podcast. It is hosted by Ira Glass, produced in collaboration with Chicago Public Media, delivered to stations by PRX The Public Radio Exchange, and has won all of the major broadcasting awards."
1091709555,"Host Kelly McEvers takes a story from the news and goes deep. Whether that means digging into the Trump administration's past, the stories behind police shootings caught on video, or visiting a town ravaged by the opioid epidemic, <em>Embedded</em> takes you where the news is happening."
1494350511,"I’ve spent over 20 years studying the emotions and experiences that bring meaning and purpose to our lives, and if there’s one thing I’ve learned it’s this: We are hardwired for connection, and connecting requires courage, vulnerability, and conversation. I want this to be a podcast that’s real, unpolished, honest, and reflects both the magic and the messiness of what it means to be human. Episodes will include conversations with the people who are teaching me, challenging me, confusing me, or maybe even ticking me off a little. I'll also have direct conversations with you about what I’m learning from new research, and we'll do some episodes dedicated to answering your questions. We don’t have to do life alone. We were never meant to."
1028908750,"Shankar Vedantam uses science and storytelling to reveal the unconscious patterns that drive human behavior, shape our choices and direct our relationships."
1552058389,"Join Paris Hilton each week as she speaks candidly with her friends and family, the hottest in movies, music, and television, innovators, creators, newsmakers, and icons. Paris will sit down for edgy, in depth conversations with a multitude of unexpected guests. She will interview people in a way that only Paris can. Questions and topics that are surprising and unanticipated. Honest, fun, open, inspiring and unpredictable. Loves it.  Paris Hilton is an influencer, DJ, designer, recording artist, philanthropist, host, actress, model and author. Now, you can get closer and more personal than ever with Paris each week. This is Paris."
214089682,"Fresh Air from WHYY, the Peabody Award-winning weekday magazine of contemporary arts and issues, is one of public radio's most popular programs. Hosted by Terry Gross, the show features intimate conversations with today's biggest luminaries."
1551162705,"<p>The Opportunist tells true stories of regular people who turn sinister simply by being opportunistic. How does an everyday person turn into a thief, a cult leader, or a scammer? Instead of portraying criminals as distinctly &ldquo;other,&rdquo; we explore our similarities and reveal the dark potential lurking inside of all of us. The Opportunist will launch with an episodic series on Sherry Shriner, a midwest mom and life-long churchgoer turned internet cult leader. The series follows Sherry as she gains thousands of followers online by promoting her own religion (a blend of biblical doomsday predictions and popular alien/reptilian conspiracy theories) and profits on selling spiritual weapons that defeat aliens and demons. As she rises to the status of infallible goddess, she leaves a trail of death and destruction in her wake. We speak with family &amp; friends of deceased cult members, prosecutors, police officers, a high profile cult expert and more. Through thought-provoking interviews and investigative reporting, The Opportunist invites the listener along with us on a thrilling journey of discovery.</p>"
1541330058,"When we think of white-collar criminals, we picture a CEO getting caught up in the latest financial scandal. But there is a subgroup within these seemingly nonviolent offenders who are never discussed in mainstream media - the white-collar criminals who kill. Join Catherine Townsend as she dives into the minds of these real-life American Psychos...who are often hiding in plain sight. This is Red Collar."
1503226625,"Every weekday afternoon, the hosts of NPR's <em>All Things Considered</em> help you make sense of a major news story and what it means for you in 15 minutes. In participating regions, you'll also hear from local journalists about what's happening in your community."
1450994021,"<p>My name is Jay Shetty, and my purpose is to make wisdom go viral. I’m fortunate to have fascinating conversations with the most insightful people in the world, and on my podcast, I’m sharing those conversation with you. New episodes Mondays and Fridays. Listen anywhere you get your podcasts, and please rate and review the podcast if you enjoy it. Live life today ON PURPOSE. </p>"
1500667648,"Most mysteries can be solved by looking at the facts. But sometimes, the facts don’t lead to a logical explanation, and the truth lies somewhere in the unknown… Join Parcast and Crime Junkie’s Ashley Flowers as they dive deep into the strange and surreal to explain some of the world’s most bizarre true crime occurrences in the new series, Supernatural with Ashley Flowers. Every Wednesday, Ashley digs into a different mystifying crime—where the most fitting theory isn’t always the most conventional."
290783428,"The economy explained. Imagine you could call up a friend and say, ""Meet me at the bar and tell me what's going on with the economy."" Now imagine that's actually a fun evening."
1205030005,"Every Monday and Thursday, Serial Killers takes a psychological and entertaining approach to provide a rare glimpse into the mind, methods and madness of the most notorious serial killers with the hopes of better understanding their psychological profile. With the help of in-depth research, we delve deep into their lives and stories. Serial Killers is part of the Parcast Network and is a Cutler Media Production."
294055449,"Rachel Maddow works with unmatched rigor and resolve to explain our complex world and deliver news in a way that's illuminating and dynamic, connecting the dots to make sense of complex issues. Join her every weeknight as she provides in-depth reporting to illuminate the current state of political affairs and reveals the importance of transparency and accountability from our leaders."
1543456877,A couple times a month Tom Segura sits down with professionals from all facets of life to have a good ol fashioned talk.
1484511465,"We tell our children unsettling fairy tales to teach them valuable life lessons, but these Cautionary Tales are for the education of the grown ups – and they are all true. Tim Harford (Financial Times, BBC, author of “The Data Detective” and “The Undercover Economist”) brings you stories of awful human error, tragic catastrophes, daring heists and hilarious fiascos. They'll delight you, scare you, but also make you wiser. iHeartMedia is the exclusive podcast partner of Pushkin Industries. "
1057255460,"Every weekday, NPR's best political reporters are there to explain the big news coming out of Washington and the campaign trail. They don't just tell you what happened. They tell you why it matters. Every afternoon."
1122804248,"Unsolved Murders: True Crime Stories is a podcast drama with a modern twist on old time radio that delves into the mystery of true cold cases and unsolved murders. With the help of an ensemble cast, follow our hosts as they take you on an entertaining journey through the crime scene, the investigation and attempt to solve the case. With many surprising plot twists, it’s important you start listening from the first episode of a cold case. New episodes are released every Tuesday. Unsolved Murders: True Crime Stories is part of the Parcast Network and is a Cutler Media Production."
1528594034,"Power, unpacked. “Sway” is a new interview show hosted by Kara Swisher, “Silicon Valley’s most feared and well liked journalist.” Now taking on Washington, Hollywood and the world, Kara investigates power: who has it, who’s been denied it, and who dares to defy it. Every Monday and Thursday, from New York Times Opinion Audio. "
1547645093,"Marlo Thomas and Phil Donahue fell in love on live television and wed over 40 years ago. Eavesdrop as they visit the homes of famous long-marrieds for intimate conversations about enduring love and all its challenges: family, career, conflict, addiction, illness, jealousy — everything that binds couples together or can break them apart.
With lots of laughs around the coffee table, we hear private takes, internal struggles and hilarious anecdotes from the likes of Viola Davis & Julius Tennon; Sting & Trudie Styler; Neil Patrick Harris & David Burtka; Ray & Anna Romano; John McEnroe & Patty Smyth; Ten Danson & Mary Steenburgen; Kelly Ripa & Mark Consuelos; Bob Woodward & Elsa Walsh; Rodney & Holly Robinson Peete; George Stephanopoulos & Ali Wentworth; Patricia Cornwell & Staci Gruber; Judges Judy & Jerry Sheindlin; Dr. Sanjay & Rebecca Gupta; President Jimmy & Rosalynn Carter; John & Justine Leguizamo; David & Mary Boies; Bryan Cranston & Robin Dearden; Jesse & Jacqueline Jackson; Rob & Michele Reiner; and Michael J. Fox & Tracy Pollan.
iHeartMedia is the exclusive podcast partner of Pushkin Industries. "
929121341,"Steven Crowder brings you news, entertainment and politics with the most politically incorrect show on the web. Guests, rants, sketches, your calls ... it's whatever."
1334878780,"Listen to highlights and extended interviews in the ""Ears Edition"" of The Daily Show with Trevor Noah. From Comedy Central’s Podcast Network."
1468013270,"Weekly, comedian best friends Tom Segura and Bert Kreischer get together in the bear cave at YMH Studios to do what bears do: make each other laugh."
1232428553,"The World's Most Dangerous Morning Show, The Breakfast Club, With DJ Envy, Angela Yee And Charlamagne Tha God!"
1460600818,"Mobilizing students on 2,000 college and high school campuses across the country, Charlie has your inside scoop on the biggest news of the week and what's really going on behind the headlines. The founder of Turning Point USA and Twitter's 5th most engaged personality sits down with some of the biggest newsmakers of our time to talk politics, pop-culture, sports, and a little bit of everything else - all from his signature no holds barred, right-of-center, freedom-loving point of view."
863897795,"
      Tim Ferriss is a self-experimenter and bestselling author, best known for The 4-Hour Workweek, which has been translated into 40+ languages.  Newsweek calls him ""the world's best human guinea pig,"" and The New York Times calls him ""a cross between Jack Welch and a Buddhist monk.""  In this show, he deconstructs world-class performers from eclectic areas (investing, chess, pro sports, etc.), digging deep to find the tools, tactics, and tricks that listeners can use.
    "
1549814799,"Nurture vs Nurture is a new podcast brought to you by the producers of Armchair Expert. Dr. Wendy Mogel, social-clinical psychologist and author, specializes in the protection and promotion of self-reliance, resilience, accountability and exuberance in children and she is our fearless leader in this new endeavor. Each week, Dr. Wendy sits down with a different set of parents for a therapy session. She brings her forty years of experience working with families to these intimate and wonderfully voyeuristic conversations. This podcast allows the listener to go on another family's journey and to receive practical advice along the way. Wendy proves that, perhaps counterintuitively,  there is nothing more universal than our specificity. In each episode, Wendy also introduces us to a foreign word that is untranslatable into English in order to enhance our minds and vocabularies on parenthood, family and communication with those we love the most."
306390087,"Welcome to the new home for Adam's rantings and ravings. This is the #1 Daily Downloaded Podcast in the World. GET IT ON as Adam shares his thoughts on current events, relationships, airport security, specialty pizzas, politics, and anything else he can complain about. Five days a week and completely uncensored, Adam welcomes a wide range of guests to join him in studio for in depth interviews and a front row seat to his unparalleled ranting. Let's not forget Bryan Bishop (Bald Bryan) on sound effects.

Check it out as Adam hangs out with some of his pals like: Larry Miller, David Allen Grier, Dr. Drew Pinksy, Dana Gould, Doug Benson, and many, many more."
1479234915,"Two days after Christmas, 2011, Russ Faria came home from game night to find his wife, Betsy, dead. He was soon charged and convicted of her murder. But Russ Faria insisted he did not kill his wife. Betsy’s brutal murder set off a chain of events that would leave one man dead, another man implicated, and expose a diabolical scheme. It would also see Dateline NBC—the true-crime original—become a part of the never-ending saga that proves the old adage: Truth is stranger than fiction. This original series from Keith Morrison and Dateline defies all expectations.  "
354668519,"<p>Discover the hidden side of everything with Stephen J. Dubner, co-author of the&nbsp;<em>Freakonomics</em>&nbsp;books. Each week,&nbsp;<em>Freakonomics Radio</em> tells you things you always thought you knew (but didn&rsquo;t) and things you never thought you wanted to know (but do) &mdash;&nbsp;from the economics of sleep to how to become great at just about anything. Dubner speaks with Nobel laureates and provocateurs, intellectuals and entrepreneurs, and various other underachievers.&nbsp;</p>"
1150510297,"Guy Raz dives into the stories behind some of the world's best known companies. <em>How I Built This</em> weaves a narrative journey about innovators, entrepreneurs and idealists—and the movements they built. Order the <em data-stringify-type=""italic"">How I Built This</em> book at https://www.guyraz.com/"
1232009882,"The true crime / comedy podcast YOU NEED IN YOUR LIFE. We recap your favorite true crime documentaries with humor, sass, and heart. FROM VULTURE: ""It’s not wrong to laugh when you’re listening to a true-crime podcast. Or at least I hope it isn’t, because if almost crashing my car while listening to True Crime Obsessed is wrong, I don’t want to be right."" Hear our take on ""Abducted in Plain Sight,"" ""The Ted Bundy Tapes,""Dirty John: The Dirty Truth"" and so many more."
275699983,"
      <p>Since its launch in 1997, The Moth has presented thousands of true stories, told live and without notes, to standing-room-only crowds worldwide. Moth storytellers stand alone, under a spotlight, with only a microphone and a roomful of strangers. The storyteller and the audience embark on a high-wire act of shared experience which is both terrifying and exhilarating. Since 2008, The Moth podcast has featured many of our favorite stories told live on Moth stages around the country. For information on all of our programs and live events, visit themoth.org.</p>
    "
594419649,"
      <p>Imagine you are friends with hundreds of real estate investors and entrepreneurs. Now imagine you can grab a beer with each of them and casually chat about failures, successes, motivations, and lessons learned. That’s what The BiggerPockets Podcast delivers.</p><p>Co-hosted by Brandon Turner, David Greene, and BiggerPockets founder Joshua Dorkin, this podcast provides actionable advice from investors and other real estate professionals every week. The show won’t tell you how to “get rich quick” or sell you a course, boot camp, or guru system; instead, the BiggerPockets Podcast will give you real strategies that work for real people.</p><p>Start listening and join the 1.3 million members who are learning to invest! Visit biggerpockets.com, and follow us on Instagram (@biggerpockets, @beardybrandon, @davidgreene24, @jrdorkin) and Twitter (@BiggerPockets, @BrandonAtBP, @DavidGreene24, and @jrdorkin).</p>
    "
1184022695,"Join intellectual phenomenon Dr. Jordan Peterson and his daughter Mikhaila for enlightening discourse that will change the way you think. This podcast breaks down the dichotomy of life through interviews and lectures that explain how individuals and culture are shaped by values, music, religion, and beyond. It will give you a new perspective and a modern understanding of your creativity, competence, and personality."
1087110764,"All good stories have a twist, and all great storytellers are just a little twisted. Join Mike Rowe for a different take on the people and events that you thought you knew -- from pop-culture to politics from Hollywood to History... The Way I Heard It with Mike Rowe -- short mysteries for the curious mind with a short attention span."
1553793022,"Creator of The Simplified Planner® and mama of three Emily Ley shares stories and tips that’ll empower you to simplify your home, work, and everything in between so you can make space for what matters, get rid of what doesn't, and build a life you love."
1266577963,"Bask in the simple joys of being right. The Michael Knowles Show cuts through the madness of our politics and culture, analyzing the top stories of the day. Monday through Friday.If you like The Michael Knowles Show, become a member TODAY with promo code: KNOWLES and enjoy the exclusive benefits for 10% off at https://www.dailywire.com/knowles"
1119389968,"Revisionist History is Malcolm Gladwell's journey through the overlooked and the misunderstood. Every episode re-examines something from the past—an event, a person, an idea, even a song—and asks whether we got it right the first time. From Pushkin Industries. Because sometimes the past deserves a second chance.iHeartMedia is the exclusive podcast partner of Pushkin Industries. "
1524250628,"""Empty Inside"" is a podcast where host Jennette McCurdy talks with a different guest each episode, doing a deep dive into a specific topic. General topic areas are comedy, eating disorders, filmmaking, jealousy, therapy, and the crippling sense of doom we all face as we desperately try to fill the void within."
620967489,"Storytelling, insight and compelling perspective on American culture and politics. Glenn Beck's quick wit, candid opinions and engaging personality have made this one of the most popular radio programs in America. Watch The Glenn Beck Radio Program, Monday through Friday, 9am - 12pm ET on BlazeTV. www.BlazeTV.com/Glenn"
1487513861,"Relax and fall asleep with Get Sleepy's unique combination of sleep meditation, followed by a calming story that lets you drift off to a peaceful slumber. "
1367210511,"Fed up with the talking heads? Matt gives you a no-holds-barred take on today’s cultural, religious, and political issues. Monday thru Friday."
1532956108,"The Michelle Obama Podcast features the former First Lady diving deep into conversations with loved ones—family, friends, and colleagues—on the relationships in our lives that make us who we are."
209377688,"Mark Levin is one of the hottest properties in Talk radio today. He is also one of the leading authors in the conservative political arena. Mark's radio show on WABC in New York City skyrocketed to Number 1 on the AM dial in his first 18 months on the air in the competitive 6:00 PM - 8:00 PM time slot. Mark's latest book, ""Unfreedom of the Press,"" is out now. When your books are endorsed by Rush Limbaugh and Sean Hannity, you know you have a winner on your hands. In a short period of time, Mark has become one of the most listened to local radio Talk show hosts in the nation."
1545953110,"The Huberman Lab Podcast discusses Neuroscience: how our brain and its connections with the organs of our body controls our perceptions, our behaviors, and our health.

We also discuss existing and emerging tools for measuring and changing how our nervous system works.

Dr. Andrew Huberman is a tenured Professor of Neurobiology and Ophthalmology at Stanford School of Medicine. His laboratory studies neural regeneration and neuroplasticity, and brain states such as stress, focus, fear, and optimal performance.

For more than 20 years, Dr. Huberman has consistently published original research findings and review articles in top-level peer-reviewed journals including Nature, Science, Cell, Neuron, and Current Biology.

He is a regular member of several National Institutes of Health review panels, and a Fellow of the McKnight Foundation and the Pew Charitable Trusts.

Dr. Huberman regularly consults for technology development companies, professional athletic organizations, and for various units of U.S. and Canadian Special Operations."
1454587745,Podcast by PragerU
523121474,"Exploring the biggest questions of our time with the help of the world's greatest thinkers. Host Manoush Zomorodi inspires us to learn more about the world, our communities, and most importantly, ourselves."
160904630,"Every weekday, TED Talks Daily brings you the latest talks in audio. Join host and journalist Elise Hu for thought-provoking ideas on every subject imaginable — from Artificial Intelligence to Zoology, and everything in between — given by the world's leading thinkers and creators. With TED Talks Daily, find some space in your day to change your perspectives, ignite your curiosity, and learn something new.  "
1553782780,"The Motherhood Meets Medicine Podcast is a space that brings all women together. It's for those who hope to be a mom one day, those who are already mothers, and mothers of mothers. This podcast will give you candid, informal interviews on motherhood topics that you can listen to while you're driving to work, folding laundry or whatever else your busy day may bring.


Each week, Your host, Lynzy Coughlin, will be focusing on topics ranging from postpartum issues to feeding babies to managing toddler tantrums. She's bringing in experts with formal training to cover everything motherhood! So grab your coffee and join us for a weekly chat on your time. All are welcome! 


Lynzy is a Physician Assistant in the Emergency Department where she has practiced medicine for the last 12 years. You can connect with Lynzy on her Motherhood Life & Style Instagram account, @lynzyandco. This is where you'll have the chance to submit questions for guest experts."
1450211392,Welcome to The Earn Your Leisure Podcast. Rashad Bilal and Troy Millings will be your host. Earn Your Leisure will be giving you behind the scenes financial views into the entertainment and sports industries as well as highlighting back stories of entrepreneurs. We will also be breaking down business models and examining the latest trends in finance. Earn Your Leisure is a college business class mixed with pop culture. We blend the two together for a unique and exciting look into the world of business. Let’s go!! #earnyourleisurepodcast
1482310665,"Spies don’t talk—it’s the cardinal rule of the business. But on Foreign Policy’s podcast I Spy, we get them to open up. We hear from the operations people: the spies who steal secrets, kill adversaries, and turn agents into double agents. Each episode features one spy telling one dramatic story."
1435516849,"
      <p>Every scandal begins with a lie. But the truth will come out. And then comes the fallout and the outrage.</p><p>Scandals have shaped America since its founding. From business and politics to sports and society, we look on aghast as corruption, deceit and ambition bring down heroes and celebrities, politicians and moguls.&nbsp;And when the dust finally settles, we’re left to wonder: how did this happen? Where did they trip up, and who is to blame? From the creators of American History Tellers, Business Wars and Tides of History comes American Scandal, where we take you deep into the heart of America’s dark side to look at what drives someone to break the rules and what happens when they’re caught.&nbsp;Hosted by Lindsay Graham. </p><p><br></p>
    "
1435183458,"On The Pat McAfee Show 2.0, Pat McAfee and his friends deliver one of a kind opinions that won't be heard anywhere else. Pat, who played in two Pro Bowls during his eight-year NFL career, brings a fresh take on sports and entertainment to listeners and fans. He is known for speaking his mind and is both relatable and refreshing. His player’s insight, electric storytelling, and robust sense of humor have helped him build a huge and loyal fan base with more than 3 million social media followers. Presented by FanDuel, The Pat McAfee Show 2.0 promises to inform, intrigue, and entertain. Cheers."
1264843400,"<p>Awaken, discover and connect to the deeper meaning of the world around you with Super Soul. Hear Oprah&rsquo;s personal selection of her interviews with thought-leaders, best-selling authors, spiritual luminaries, as well as health and wellness experts. All designed to light you up, guide you through life&rsquo;s big questions and help bring you one step closer to your best self.</p>"
1551820452,"“Bridgerton: The Official Podcast” is your official peek behind the curtain of Shondaland's Bridgerton series. Much like Lady Whistledown we'll gossip about how the show was created and have conversations around Bridgerton’s storyline, music, the costumes and sets, the historical context of the era and so much more!  "
152249110,"Radiolab is one of the most beloved podcasts and public radio shows in the world. The show is known for its deep-dive journalism and innovative sound design. Created in 2002 by host Jad Abumrad, the program began as an exploration of scientific inquiry. Over the years it has evolved to become a platform for long-form journalism and storytelling. Radiolab is co-hosted by Lulu Miller and Latif Nasser.
"
121493675,The latest news in five minutes. Updated hourly.
1229434818,"UnF*ck Your Brain is the podcast for high-achieving feminist women who struggle with anxiety, self-doubt, and imposter syndrome. If you know you’ve accomplished a lot professionally but still secretly feel like you’re unqualified….if you want to feel confident but you worry about what everyone else thinks about you...if you want to succeed but fear failure...this podcast is for you. In each episode Master Certified Confidence Coach Kara Loewentheil, J.D., will teach you how to overcome social conditioning and your own self-critical thoughts so that you can reduce your anxiety and insecurity, boost your self-confidence, and get what you want in life. Download a free guide to creating confidence at www.unfckyourbrain.com/podcastconfidence."
1087147821,"Dan Harris is a fidgety, skeptical ABC News anchor who had a panic attack live on ""Good Morning America,"" which led him to try something he always thought was ridiculous: meditation. He went on to write the bestselling book, ""10% Happier."" In this podcast, Dan explores happiness (whatever that means) from all angles. Guests include legendary meditation teachers -- from the Dalai Lama to Western masters -- as well as scientists, and even the odd celebrity. But the show also ventures beyond meditation, bringing on leading researchers in areas such as social anxiety, bias, creativity, productivity, and relationships. The animating insight of this show is that the mind is trainable. This is what science is showing us. Mental traits such as happiness, calm, generosity, compassion, and connection are not hardwired, unalterable factory settings; they are, in fact, skills that can be trained. On this show, you'll learn how."
1555769971,"Here’s a dude who’s spent his entire life talking to little guys on his knee, but now he’s chatting with some amazing folks he can’t actually stuff in a box.  Guests are from all walks of life, and they’ve become masters at their chosen profession, each with their own 10,000 hours of experience and a lifetime of dedication to whatever they do.  The person may or may not be famous, but you’ll find out what drives them, but also what they did when they almost didn’t “make it.” Hear about the times they had true doubts, or when life threw curveballs and they had to push back and persevere.  

In addition, at the end of each episode you’ll hear from at least one of the guys out of Jeff’s suitcase introducing a live performance segment from a show on the road.  Listen now!"
283605519,Join Holly and Tracy as they bring you the greatest and strangest Stuff You Missed In History Class in this podcast by iHeartRadio.
1317493077,"True stories for English speakers learning Spanish. From the makers of Duolingo, the most popular language-learning app, comes a new podcast that delivers fascinating real-life stories  in easy-to-understand Spanish with English narration. These are not language lessons; they’re life lessons through language. Hosted by Martina Castro, co-founder of NPR’s Radio Ambulante."
1346314086,"
      <p>You spend a quarter of your life at work. You should enjoy it! Organizational psychologist Adam Grant takes you inside the minds of some of the world’s most unusual professionals to discover the keys to a better work life. From learning how to love your rivals to harnessing the power of frustration, one thing’s for sure: You’ll never see your job the same way again.</p>
    "
1434243584,"Conversations about AI, science, technology, history, philosophy and the nature of intelligence, consciousness, love, and power. Formerly called the Artificial Intelligence (AI) podcast. Lex is an AI researcher at MIT and beyond."
790487079,"<p>The Sword and Scale true-crime podcast is an immersive audio experience covering the dark side of humanity and human nature. Our stories delve into the worst of the worst and include murder, rape, dismemberment and cannibalism. No crime is too brutal and no victim is too pure. The worst monsters are real. </p><p><br></p><p><br></p>"
1305546061,"Coffee Convos is hosted by Kail Lowry of MTV's Teen Mom and Lindsie Chrisley of USA Network's Chrisley Knows Best. These two reality stars come from totally different worlds, but have become close through their shared experiences as mothers, reality stars, and women. They share who they really are and talk about the issues they face every day. They don't always agree, but they love to have lively discussions about motherhood, friendship, television, family, and life in the public eye. Coffee Convos will feature all the latest in their busy lives, recommendations for other moms, and rants about trying to balance it all."
1233834541,"The #1 podcast for kids and their grown-ups. Hosts Mindy Thomas and Guy Raz share stories about the latest news in science, technology, and innovation. Stories that give kids hope, agency and make us all say ""WOW""!"
1482575855,"New discoveries, everyday mysteries, and the science behind the headlines — all in about 10 minutes, every weekday. It's science for everyone, using a lot of creativity and a little humor. Join host Maddie Sofia for science on a different wavelength."
1033048640,"<p>The Mindset Mentor™ podcast is designed for anyone desiring motivation, direction, and focus in life.&nbsp;Host Rob Dial has amassed a passionate following of over 2 million social media followers, including business professionals, entrepreneurs, and small business owners with his expertise and passion for helping motivate people to become the best version of themselves.&nbsp;Rob challenges his audience to live a life of love and purpose.&nbsp;Rob has been featured in Forbes and Inc. for his ability to connect with his listeners. Over the past 15 years he has studied with some of the greatest thought leaders of our time like Tony Robbins, Ram Dass, Dr. Joe Dispenza, Jay Shetty and many more. Tune in if you're ready to take your life to the next level.</p><p>Follow Rob on Instagram @RobDialJr <a href=""https://www.instagram.com/robdialjr/"" rel=""noopener noreferrer"" target=""_blank"">https://www.instagram.com/robdialjr/</a></p>"
