country,rank,name,id,releaseDate,Primary_Genre,Other_Genre,Artist,FeedURL
us,38,Tom Talks,1543456877,2021-03-04,Comedy,"TV & Film,",YMH Studios,https://tomtalkspodcast.libsyn.com/rss
us,39,Cautionary Tales,1484511465,2021-02-12,History,"Society & Culture,",Pushkin Industries,https://feeds.megaphone.fm/cautionarytales
us,40,The NPR Politics Podcast,1057255460,2020-10-27,Politics,"News,Daily News,",NPR,https://feeds.npr.org/510310/podcast.xml
us,41,I AM Athlete Podcast,1537836233,2021-02-19,Sports,,"Brandon Marshall, Chad Johnson, Fred Taylor, Channing Crowder",https://feeds.buzzsprout.com/1447516.rss
us,42,Unsolved Murders: True Crime Stories,1122804248,2020-10-27,True Crime,"Society & Culture,",Parcast Network,https://feeds.megaphone.fm/END8394789342
us,43,Sway,1528594034,2020-10-26,Society & Culture,,New York Times Opinion,https://feeds.simplecast.com/l2i9YnTd
us,44,Double Date with Marlo Thomas & Phil Donahue,1547645093,2021-03-03,Relationships,"Society & Culture,",Pushkin Industries,https://feeds.megaphone.fm/doubledate
us,45,Louder with Crowder,929121341,2020-10-26,News,,Blaze Podcast Network,https://feeds.megaphone.fm/BMDC5089297303
us,46,The Daily Show With Trevor Noah: Ears Edition,1334878780,2020-10-28,Comedy,"News,Daily News,",iHeartRadio & Comedy Central,https://feeds.megaphone.fm/the-daily-show
us,47,2 Bears 1 Cave with Tom Segura & Bert Kreischer,1468013270,2020-10-26,Comedy,,YMH Studios,https://2bears1cave.libsyn.com/rss
us,48,The Breakfast Club,1232428553,2020-11-03,Comedy,,iHeartRadio,https://feeds.megaphone.fm/the-breakfast-club
us,49,The Charlie Kirk Show,1460600818,2020-10-28,News,"Society & Culture,",PodcastOne,https://www.omnycontent.com/d/playlist/5e27a451-e6e6-4c51-aa03-a7370003783c/c865b590-c84f-4f7e-a43e-ac64014b61d9/8978e846-cacd-4d65-b085-ac64014cd49f/podcast.rss
us,50,The Tim Ferriss Show,863897795,2020-10-28,Entrepreneurship,"Business,Education,","Tim Ferriss: Bestselling Author, Human Guinea Pig",https://rss.art19.com/tim-ferriss-show
us,51,Nurture vs Nurture with Dr. Wendy Mogel,1549814799,2021-02-16,Kids & Family,"Society & Culture,",Armchair Umbrella,https://feeds.simplecast.com/KUFNuLM3
us,52,Adam Carolla Show,306390087,2020-10-28,Comedy,,PodcastOne / Carolla Digital,http://feeds.feedburner.com/TheAdamCarollaPodcast
us,53,The Thing About Pam,1479234915,2019-09-27,True Crime,"News,",NBC News,https://podcastfeeds.nbcnews.com/jDT1YfkK
us,54,Freakonomics Radio,354668519,2020-10-22,Documentary,"Society & Culture,",Freakonomics Radio + Stitcher,https://www.omnycontent.com/d/playlist/aaea4e69-af51-495e-afc9-a9760146922b/14a43378-edb2-49be-8511-ab0d000a7030/d1b9612f-bb1b-4b85-9c0c-ab0d004ab37a/podcast.rss
us,55,How I Built This with Guy Raz,1150510297,2020-10-26,Business,,NPR,https://feeds.npr.org/510313/podcast.xml
us,56,True Crime Obsessed,1232009882,2020-11-03,True Crime,"Society & Culture,",Obsessed Network,https://audioboom.com/channels/4929680.rss
us,57,The Moth,275699983,2020-11-03,Performing Arts,"Arts,",The Moth,http://feeds.feedburner.com/themothpodcast
us,58,BiggerPockets Real Estate Podcast,594419649,2020-10-25,Investing,"Business,Education,",BiggerPockets,https://rss.art19.com/biggerpockets-real-estate-podcast
us,59,The Jordan B. Peterson Podcast,1184022695,2020-11-01,Education,"Science,",Dr. Jordan B. Peterson,https://jordanbpetersonpodcast.libsyn.com/rss
us,60,The Way I Heard It with Mike Rowe,1087110764,2020-10-27,Society & Culture,"History,",Mike Rowe,http://thewayiheardit.rsvmedia.com/rss/
us,61,The Simplified Podcast with Emily Ley,1553793022,2021-03-04,Personal Journals,"Society & Culture,Relationships,",Four Eyes Media,https://simplifiedpodcast.libsyn.com/rss
us,62,The Michael Knowles Show,1266577963,2020-11-04,News Commentary,"News,",The Daily Wire,https://feeds.megaphone.fm/WWO6807941907
us,63,Revisionist History,1119389968,2020-09-10,Society & Culture,,Pushkin Industries,https://feeds.megaphone.fm/revisionisthistory
us,64,Empty Inside,1524250628,2021-02-24,Self-Improvement,"Education,Society & Culture,",Jennette McCurdy,https://jennettemccurdy.libsyn.com/rss
us,65,The Glenn Beck Program,620967489,2020-10-27,News Commentary,"News,Politics,",Blaze Podcast Network,https://feeds.megaphone.fm/BMDC3567910388
us,66,Get Sleepy: Sleep meditation and stories,1487513861,2020-10-28,Alternative Health,"Health & Fitness,Fiction,Drama,",Get Sleepy,https://feeds.simplecast.com/IXxBBvKz
us,67,The Matt Walsh Show,1367210511,2021-01-06,News Commentary,"News,",The Daily Wire,https://feeds.megaphone.fm/WWO9088095423
us,68,The Michelle Obama Podcast,1532956108,2020-09-30,Relationships,"Society & Culture,Personal Journals,",Higher Ground & Spotify,https://feeds.megaphone.fm/tmopwide
us,69,Mark Levin Podcast,209377688,2020-11-04,News Commentary,"News,",Westwood One Podcast Network,https://feeds.megaphone.fm/mark-levin-podcast
us,70,Huberman Lab,1545953110,2021-02-22,Health & Fitness,"Science,",Dr. Andrew Huberman,https://hubermanlab.libsyn.com/rss
us,71,The Candace Owens Show,1454587745,2020-10-18,Education,,PragerU,http://feeds.soundcloud.com/users/soundcloud:users:593344158/sounds.rss
us,72,TED Radio Hour,523121474,2020-10-23,Technology,"Science,Social Sciences,",NPR,https://feeds.npr.org/510298/podcast.xml
us,73,TED Talks Daily,160904630,2020-10-27,Education,"Society & Culture,",TED,http://feeds.feedburner.com/TEDTalks_audio
us,74,Motherhood Meets Medicine,1553782780,2021-03-03,Kids & Family,"Health & Fitness,Medicine,",Lynzy Coughlin,https://motherhoodmeetsmedicine.libsyn.com/rss
us,75,Earn Your Leisure,1450211392,2021-01-29,Business,,The Black Effect and iHeartRadio,https://feeds.megaphone.fm/HSW2710456421
us,76,I Spy,1482310665,2021-02-23,Society & Culture,"History,",Foreign Policy,https://feeds.megaphone.fm/i-spy-foreign-policy
us,77,American Scandal,1435516849,2020-10-27,History,"Society & Culture,Documentary,",Wondery,https://rss.art19.com/american-scandal
us,78,The Bible Recap,1440833267,2020-12-22,Christianity,"Religion & Spirituality,",D-Group,https://thebiblerecap.podbean.com/feed.xml
us,79,The Pat McAfee Show 2.0,1435183458,2020-10-29,Sports,,Pat McAfee,https://feeds.simplecast.com/FtKDGmxb
us,80,Oprah’s SuperSoul Conversations,1264843400,2020-10-28,Society & Culture,,Oprah,https://www.omnycontent.com/d/playlist/aaea4e69-af51-495e-afc9-a9760146922b/39ae2ce1-bc6d-4760-b0dc-ab050182ffa7/b4420a1c-dab1-4d11-bf04-ab050182ffe0/podcast.rss
us,81,Bridgerton: The Official Podcast,1551820452,2021-02-25,TV & Film,"Society & Culture,",Shondaland Audio & iHeartRadio,https://feeds.megaphone.fm/HSW3113308719
us,82,Radiolab,152249110,2020-10-23,Documentary,"Society & Culture,Science,Nature,",WNYC Studios,http://feeds.wnyc.org/radiolab
us,83,NPR News Now,121493675,2020-11-04,Daily News,"News,",NPR,https://feeds.npr.org/500005/podcast.xml
us,84,UnF*ck Your Brain,1229434818,2021-02-04,Mental Health,"Health & Fitness,Education,Self-Improvement,",Kara Loewentheil,https://lawyerstresssolution.libsyn.com/rss
us,85,Ten Percent Happier with Dan Harris,1087147821,2020-10-28,Mental Health,"Health & Fitness,",ABC News,https://feeds.megaphone.fm/ESP3510913812
us,86,The Jeff Dunham Podcast,1555769971,2021-02-25,Comedy,"Leisure,",Jeff Dunham,https://jeffdunham.libsyn.com/rss
us,87,Stuff You Missed in History Class,283605519,2020-11-02,History,"Society & Culture,",iHeartRadio,https://feeds.megaphone.fm/stuffyoumissedinhistoryclass
us,88,Duolingo Spanish Podcast,1317493077,2020-10-22,Education,"Society & Culture,Places & Travel,",Duolingo,http://spanishpodcast.duolingo.libsynpro.com/rss
us,89,WorkLife with Adam Grant,1346314086,2021-02-23,Management,"Business,",TED,https://feeds.feedburner.com/WorklifeWithAdamGrant
us,90,Lex Fridman Podcast,1434243584,2020-10-30,Technology,"Science,",Lex Fridman,https://lexfridman.com/feed/podcast/
us,91,Sword and Scale,790487079,2020-10-26,True Crime,"Society & Culture,Documentary,",Incongruity,https://www.omnycontent.com/d/playlist/9b7dacdf-a925-4f95-84dc-ac46003451ff/8caf5963-644f-4ccd-94f6-acb5003641f5/d5f2436e-2a50-4633-8f85-acb5003641fe/podcast.rss
us,92,Coffee Convos Podcast with Kail Lowry & Lindsie Chrisley,1305546061,2021-02-25,Society & Culture,"Kids & Family,Parenting,",Kail Lowry & Lindsie Chrisley,https://audioboom.com/channels/5025221.rss
us,93,Wow in the World,1233834541,2021-01-18,Stories for Kids,"Kids & Family,Education for Kids,",NPR,https://feeds.npr.org/510321/podcast.xml
us,94,Short Wave,1482575855,2021-01-26,Life Sciences,"Science,Astronomy,",NPR,https://feeds.npr.org/510351/podcast.xml
us,95,The Mindset Mentor,1033048640,2021-01-08,Mental Health,"Health & Fitness,Education,",Rob Dial and Kast Media,https://www.omnycontent.com/d/playlist/9b7dacdf-a925-4f95-84dc-ac46003451ff/5cd7413c-b341-493f-bf46-acb500364141/6b2540d4-e0b2-42f7-a61a-acb50036415a/podcast.rss
us,96,The Experiment,1549704404,2021-01-25,Documentary,"Society & Culture,History,",The Atlantic and WNYC Studios,http://feeds.wnyc.org/experiment_podcast
us,97,"The Doctor's Farmacy with Mark Hyman, M.D.",1382804627,2020-12-04,Medicine,"Health & Fitness,Nutrition,",Dr. Mark Hyman,https://feed.pippa.io/public/shows/5aecaca3a15c2dd12887881a
us,98,Cold,1441595858,2021-03-03,True Crime,"Society & Culture,Documentary,",KSL Podcasts | Wondery,https://rss.art19.com/cold
us,99,Even the Rich,1500477470,2020-10-27,Society & Culture,,Wondery,https://rss.art19.com/even-the-rich
us,100,Throughline,1451109634,2020-10-22,History,,NPR,https://feeds.npr.org/510333/podcast.xml
us,101,20/20,987967575,2020-11-22,News,,ABC News,https://feeds.megaphone.fm/ESP3456903052
us,102,Dan Carlin's Hardcore History,173001861,2020-06-03,History,,Dan Carlin,http://feeds.feedburner.com/dancarlin/history?format=xml
us,103,Cults,1286818575,2021-03-02,True Crime,"History,",Parcast Network,https://feeds.megaphone.fm/END8327072399
us,104,The Journal.,1469394914,2021-01-07,Daily News,"News,",The Wall Street Journal & Gimlet,https://video-api.wsj.com/podcast/rss/wsj/the-journal
us,105,99% Invisible,394775318,2020-10-27,Design,"Arts,",Roman Mars,https://feeds.99percentinvisible.org/99percentinvisible
us,106,Tim Pool Daily Show,1362265400,2021-03-02,Politics,"News,",Tim Pool,https://feeds.buzzsprout.com/164767.rss
us,107,Nice White Parents,1524080195,2020-08-20,Society & Culture,"Education,",Serial & The New York Times,https://feeds.simplecast.com/Z4wHC1c2
us,108,The Indicator from Planet Money,1320118593,2021-01-19,Business,,NPR,https://feeds.npr.org/510325/podcast.xml
us,109,Bannon's War Room,1485351658,2020-10-27,Politics,"News,",WarRoom.org,https://feed.podbean.com/listen.warroom.org/feed.xml
us,110,Global News Podcast,135067274,2020-11-04,News,,BBC World Service,https://podcasts.files.bbci.co.uk/p02nq0gn.rss
us,111,Pivot,1073226719,2021-02-16,News Commentary,"News,Tech News,",New York Magazine,https://feeds.megaphone.fm/pivot
us,112,Lore,978052928,2020-10-26,History,"Society & Culture,",Aaron Mahnke and Grim & Mild,https://feeds.megaphone.fm/lore
us,113,Allen v. Farrow Podcast,1554108046,2021-02-24,TV & Film,"Society & Culture,Documentary,",HBO,https://www.omnycontent.com/d/playlist/d83f52e4-2455-47f4-982e-ab790120b954/a3aca008-52d2-416b-b0e8-acd10173c6d8/247612ac-1916-45c2-a617-acd10178057c/podcast.rss
us,114,Criminal,809264944,2020-10-23,True Crime,,Criminal & Radiotopia,https://feeds.thisiscriminal.com/CriminalShow
us,115,Joel Osteen Podcast,137254859,2020-10-28,Christianity,"Religion & Spirituality,",Joel Osteen,https://feeds.megaphone.fm/HSW9490884322
us,116,Wait Wait... Don't Tell Me!,121493804,2020-10-24,Comedy,"Leisure,",NPR,https://feeds.npr.org/344098539/podcast.xml
us,117,WHOA That's Good Podcast,1433974017,2020-10-28,Christianity,"Religion & Spirituality,Business,",Sadie Robertson,https://feeds.megaphone.fm/LEW1514366617
us,118,Revolutions,703889772,2020-12-25,History,"Education,",Mike Duncan,https://revolutionspodcast.libsyn.com/rss
us,119,The Herd with Colin Cowherd,1042368254,2021-02-17,Football,"Sports,Basketball,",iHeartRadio,https://feeds.megaphone.fm/the-herd-with-colin-cowherd
us,120,Made For This with Jennie Allen,1466667116,2021-03-02,Christianity,"Religion & Spirituality,",Jennie Allen,https://www.spreaker.com/show/3553112/episodes/feed
us,121,Unashamed with Phil & Jase Robertson,1460147025,2020-10-26,Religion & Spirituality,,Unashamed with Phil & Jase Robertson,https://feeds.megaphone.fm/BMDC9083048104
us,122,The School of Greatness,596047499,2021-02-17,Alternative Health,"Health & Fitness,Education,",Lewis Howes,https://rss.art19.com/the-school-of-greatness
us,123,The Investing for Beginners Podcast - Your Path to Financial Freedom,1210741497,2021-01-07,Investing,"Business,",Andrew Sather and Dave Ahern,https://einvestingforbeginners.com/feed/podcast/
us,124,Do No Harm,1537865727,2021-02-16,True Crime,"News,",Wondery | NBC News,https://rss.art19.com/do-no-harm
us,125,WTOP’s American Nightmare Series,1461511691,2021-03-01,True Crime,,WTOP | Hubbard Radio,http://feeds.hubbardpodcasts.com/22HoursAnAmericanNightmare
us,126,Stuff They Don't Want You To Know,732915228,2021-02-12,Society & Culture,,iHeartRadio,https://feeds.megaphone.fm/stufftheydontwantyoutoknow
us,127,The Food That Built America,1551644089,2021-02-04,History,"Society & Culture,Documentary,",The HISTORY Channel & OZY,https://rss.acast.com/the-food-that-built-america
us,128,The Happiness Lab with Dr. Laurie Santos,1474245040,2020-10-12,Society & Culture,"Education,",Pushkin Industries,https://feeds.megaphone.fm/happinesslab
us,129,Marketplace,201853034,2021-03-03,Business News,"News,",Marketplace,https://www.marketplace.org/feed/podcast/marketplace
us,130,Nothing much happens; bedtime stories to help you sleep,1378040733,2021-02-22,Alternative Health,"Health & Fitness,Mental Health,",Curiouscast,https://www.omnycontent.com/d/playlist/fdc2ad13-d199-4e97-b2db-a59300cb6cc2/4612b138-198c-44ef-98f3-a9ad00f61592/b2da9d89-f255-4593-8de7-a9ad00f6159c/podcast.rss
us,131,Verdict with Ted Cruz,1495601614,2020-10-28,Politics,"News,Daily News,",Ted Cruz,https://feeds.megaphone.fm/TCZ9660009509
us,132,REAL AF with Andy Frisella,1012570406,2021-01-23,Business,,Andy Frisella #100to0,https://mfceoproject.libsyn.com/rss2
us,133,The Vanished Podcast,1081124929,2020-10-26,True Crime,"News,",Wondery,https://rss.art19.com/the-vanished-podcast-wondery
us,134,Mad Money w/ Jim Cramer,147247199,2021-02-25,Investing,"Business,News,",CNBC,https://feeds.simplecast.com/TkQfZXMD
us,135,Up and Vanished,1140596919,2020-10-15,True Crime,"Society & Culture,Personal Journals,",Tenderfoot TV,https://feeds.megaphone.fm/up-and-vanished
us,136,Motive for Murder,1510365500,2021-02-16,True Crime,"Society & Culture,",NBC News,https://podcastfeeds.nbcnews.com/motive-for-murder
us,137,Serendipity With Inky Johnson,1553377190,2021-03-01,Self-Improvement,"Education,Sports,",The Resonance Network,https://serendipitywithinkyjohnson.libsyn.com/rss
us,138,Crime Stories with Nancy Grace,1193068130,2021-02-19,True Crime,"News,",Crime Online & iHeartRadio,https://rss.art19.com/crime-stories-with-nancy-grace
us,139,Code Switch,1112190608,2020-10-28,News,"Society & Culture,",NPR,https://feeds.npr.org/510312/podcast.xml
us,140,Conspiracy Theories,1337195586,2020-10-28,History,"True Crime,",Parcast Network,https://feeds.megaphone.fm/END5064265457
us,141,In the Dark,1148175292,2020-10-14,News,,APM Reports,https://feeds.publicradio.org/public_feeds/in-the-dark/itunes/rss
us,142,Motley Fool Money,306106212,2021-01-22,Investing,"Business,News,Business News,",The Motley Fool,https://fool.libsyn.com/rss
us,143,CLEANING UP THE MENTAL MESS with Dr. Caroline Leaf,1334767397,2021-03-04,Mental Health,"Health & Fitness,",Dr. Caroline Leaf,https://anchor.fm/s/236705fc/podcast/rss
us,144,The Steam Room,1490924360,2021-03-05,Basketball,"Sports,",Turner Sports,https://www.omnycontent.com/d/playlist/d83f52e4-2455-47f4-982e-ab790120b954/29d5becb-197f-49e8-ada6-ab86002e76bb/f54282a3-7df0-44c7-a146-ab86002e76bb/podcast.rss
za,1,On Purpose with Jay Shetty,1450994021,2020-10-26,Health & Fitness,"Business,",Jay Shetty and Kast Media,https://www.omnycontent.com/d/playlist/aaea4e69-af51-495e-afc9-a9760146922b/ff4ff6bb-916d-4c78-ad23-ac8d017d4c2d/7c990ede-a998-4804-957e-ac8d017d4c45/podcast.rss
za,2,TED Talks Daily,160904630,2020-10-27,Education,"Society & Culture,",TED,http://feeds.feedburner.com/TEDTalks_audio
za,3,Ampd Studios Creative Industry Podcast with Nasty C,1525254543,2021-02-25,Entrepreneurship,"Business,",AMPD STUDIOS by Old Mutual,https://anchor.fm/s/2de58814/podcast/rss
za,4,Oprah’s SuperSoul Conversations,1264843400,2020-10-28,Society & Culture,,Oprah,https://www.omnycontent.com/d/playlist/aaea4e69-af51-495e-afc9-a9760146922b/39ae2ce1-bc6d-4760-b0dc-ab050182ffa7/b4420a1c-dab1-4d11-bf04-ab050182ffe0/podcast.rss
za,5,The Daily Show With Trevor Noah: Ears Edition,1334878780,2020-10-28,Comedy,"News,Daily News,",iHeartRadio & Comedy Central,https://feeds.megaphone.fm/the-daily-show
za,6,The Money Show,1072307993,2020-10-28,Investing,"Business,Careers,",Primedia Broadcasting,https://www.omnycontent.com/d/playlist/5dcefa8e-00a9-4595-8ce1-a4ab0080f142/1ecba37a-6d83-4ee9-a295-a57100b7f2df/e3347658-6eee-44e2-bf81-a57100b92442/podcast.rss
za,7,VT Podcast,1540543705,2020-11-13,Society & Culture,,Sound and Sounds,https://anchor.fm/s/3ffb90c0/podcast/rss
za,8,Elevation with Steven Furtick,216015753,2020-10-26,Christianity,"Religion & Spirituality,",Elevation Church,http://feeds.feedburner.com/ElevationChurchCharlotte
za,9,Joel Osteen Podcast,137254859,2020-10-28,Christianity,"Religion & Spirituality,",Joel Osteen,https://feeds.megaphone.fm/HSW9490884322
za,10,Global News Podcast,135067274,2020-10-28,News,,BBC World Service,https://podcasts.files.bbci.co.uk/p02nq0gn.rss
za,11,Major League Djz,1486896400,2020-04-09,Music,,MajorLeague Djz,https://majorleaguedjz.podomatic.com/rss2.xml
za,12,Behind The Edit,1556449891,2021-03-03,Entrepreneurship,"Business,Arts,Design,",The Local Edit,https://feeds.simplecast.com/FZZMH_fM
za,13,Our Love Journey With Mpoomy & Brenden,1529419354,2020-10-09,Arts,,Our Love Journey,https://feeds.buzzsprout.com/1308838.rss
za,14,The Mindset Mentor,1033048640,2020-10-28,Mental Health,"Health & Fitness,Education,",Rob Dial and Kast Media,https://www.omnycontent.com/d/playlist/9b7dacdf-a925-4f95-84dc-ac46003451ff/5cd7413c-b341-493f-bf46-acb500364141/6b2540d4-e0b2-42f7-a61a-acb50036415a/podcast.rss
za,15,True Crime South Africa,1469703618,2020-10-22,Society & Culture,,True Crime South Africa,https://iono.fm/rss/chan/4652
za,16,The Jordan B. Peterson Podcast,1184022695,2020-10-25,Education,"Science,",Dr. Jordan B. Peterson,https://jordanbpetersonpodcast.libsyn.com/rss
za,17,Stuff You Should Know,278981407,2020-10-28,Society & Culture,,iHeartRadio,https://feeds.megaphone.fm/stuffyoushouldknow
za,18,CLEANING UP THE MENTAL MESS with Dr. Caroline Leaf,1334767397,2020-10-28,Mental Health,"Health & Fitness,",Dr. Caroline Leaf,https://anchor.fm/s/236705fc/podcast/rss
za,19,The Robin Sharma Mastery Sessions,1068207118,2020-03-05,Education,"Business,",Robin Sharma,https://robinsharma.libsyn.com/rss
za,20,The Tim Ferriss Show,863897795,2020-10-28,Entrepreneurship,"Business,Education,","Tim Ferriss: Bestselling Author, Human Guinea Pig",https://rss.art19.com/tim-ferriss-show
za,21,Crime Junkie,1322200189,2020-10-26,True Crime,,audiochuck,https://feeds.megaphone.fm/ADL9840290619
za,22,Business Wars,1335814741,2020-10-28,Management,"Business,History,",Wondery,https://rss.art19.com/business-wars
za,23,Noxious Deejay Podcast,921359216,2021-01-09,Music,,Noxious Deejay,https://noxious.podomatic.com/rss2.xml
za,24,Chymamusique's Podcast,1440251673,2020-08-16,Music,,Chymamusique,https://dachyma.podomatic.com/rss2.xml
za,25,Office Ladies,1480311435,2020-12-23,Comedy,,Earwolf & Jenna Fischer and Angela Kinsey,https://www.omnycontent.com/d/playlist/aaea4e69-af51-495e-afc9-a9760146922b/75a86d39-9e0e-4e9a-b948-aae301805fe6/514362cf-31b4-4ed2-af40-aae301805ffd/podcast.rss
za,26,We Study Billionaires - The Investor’s Podcast Network,928933489,2020-10-25,Investing,"Business,Education,",The Investor's Podcast Network,https://rss.art19.com/the-investors-podcast
za,27,KnightSA89 - MidTempo Sessions Uploads,1512102345,2020-10-02,Music,,KnightSA89,https://hearthis.at/knightsa89/podcast/?limit=500
za,28,Unlocking Us with Brené Brown,1494350511,2020-10-28,Relationships,"Society & Culture,Education,Self Help,",Parcast Network,https://feeds.megaphone.fm/unlocking-us
za,29,Woman Evolve with Sarah Jakes Roberts,1316294579,2020-10-21,Society & Culture,,Woman Evolve with Sarah Jakes Roberts,https://womanevolve.libsyn.com/rss
za,30,The Daily,1200361736,2020-10-28,Daily News,"News,",The New York Times,https://feeds.simplecast.com/54nAGcIl
za,31,Cautionary Tales,1484511465,2021-02-12,History,"Society & Culture,",Pushkin Industries,https://feeds.megaphone.fm/cautionarytales
